repetition,host,arch,system,name,nthreads,nb_ops,latency
1,eliza,mte,skiplist,YCSB-C,1,3000000,5169.55
2,eliza,mte,linklist,YCSB-A,1,25000,3119303.9818719993
2,eliza,mte,CLHT,YCSB-C,1,5000000,238.09
1,eliza,aarch64,CLHT,insert,16,50000000,3399.4
4,eliza,aarch64,skiplist,read,1,3000000,3731.98
2,eliza,aarch64,CLHT,YCSB-C,64,50000000,276.27
1,eliza,mte,linklist,read,1,25000,2755137.05
4,eliza,mte,ART,YCSB-C,1,3000000,1334.86
4,eliza,aarch64,btree,YCSB-B,1,10000000,764.7174403040001
1,eliza,aarch64,linklist,YCSB-D,1,10000,1159954.0343229999
0,eliza,aarch64,ART,read,1,3000000,1536.56
2,eliza,mte,CLHT,YCSB-C,64,50000000,306.0
2,eliza,mte,linklist,update,1,25000,2578046.9
2,eliza,aarch64,CLHT,YCSB-C,192,60000000,74479.6
0,eliza,mte,btree,YCSB-E,1,10000000,1138.6902866
0,eliza,mte,CLHT,YCSB-C,64,50000000,355.25
2,eliza,mte,CLHT,insert,64,50000000,16501.76
3,eliza,aarch64,btree,YCSB-F,1,10000000,673.0225696220117
4,eliza,mte,queue,queue_bench,1,100000000,332.528
0,eliza,aarch64,ART,scan,1,100000,304989.26
0,eliza,aarch64,CLHT,read,1,5000000,295.41
4,eliza,mte,ART,read,1,3000000,1611.0
2,eliza,aarch64,ART,YCSB-D,1,3000000,1158.0735225066667
0,eliza,aarch64,btree,YCSB-C,1,10000000,799.07
4,eliza,mte,linklist,YCSB-D,1,10000,1675923.898848
3,eliza,aarch64,CLHT,read,192,60000000,74726.07
4,eliza,mte,skiplist,scan,1,1000000,38828.19
3,eliza,mte,btree,YCSB-A,1,10000000,926.700532793
4,eliza,mte,linklist,insert,1,1000000,4014.9
1,eliza,mte,btree,YCSB-F,1,10000000,750.3493409761637
4,eliza,mte,btree,YCSB-F,1,10000000,731.300788423221
1,eliza,mte,CLHT,read,1,5000000,307.01
4,eliza,mte,CLHT,YCSB-C,64,50000000,295.53
3,eliza,aarch64,queue,queue_bench,64,10000000,3619.910
1,eliza,aarch64,CLHT,YCSB-C,1,5000000,221.76
0,eliza,aarch64,linklist,update,1,25000,2040568.65
4,eliza,mte,queue,queue_bench,16,50000000,1006.608
2,eliza,mte,skiplist,insert,1,1000000,6025.43
0,eliza,mte,linklist,YCSB-F,1,10000,965555.4201810465
3,eliza,mte,linklist,YCSB-C,1,25000,2746974.4
1,eliza,mte,btree,YCSB-E,1,10000000,862.722747816
3,eliza,aarch64,linklist,read,1,25000,1642965.25
1,eliza,aarch64,skiplist,insert,1,1000000,4725.06
2,eliza,aarch64,btree,YCSB-C,1,10000000,749.19
4,eliza,mte,ART,scan,1,100000,324576.03
3,eliza,mte,CLHT,YCSB-C,192,60000000,77167.59
3,eliza,aarch64,btree,YCSB-A,1,10000000,853.5704959850001
4,eliza,mte,queue,queue_bench,64,10000000,3127.430
